Year,Month,country,partner,Direction,flow,date,flow_signed
2016,1,AL,GR,Import,5,2016-01-01,5
2016,2,AL,GR,Import,113,2016-02-01,113
2016,3,AL,GR,Import,241,2016-03-01,241
2016,4,AL,GR,Import,80,2016-04-01,80
2016,5,AL,GR,Import,212,2016-05-01,212
2016,6,AL,GR,Import,53,2016-06-01,53
2016,7,AL,GR,Import,6,2016-07-01,6
2016,8,AL,GR,Import,8,2016-08-01,8
2016,9,AL,GR,Import,9,2016-09-01,9
2016,10,AL,GR,Import,8,2016-10-01,8
2016,11,AL,GR,Import,84,2016-11-01,84
2016,12,AL,GR,Import,4,2016-12-01,4
2016,1,AL,GR,Import,2,2016-01-01,2
2016,2,AL,GR,Import,316,2016-02-01,316
2016,3,AL,GR,Import,312,2016-03-01,312
2016,4,AL,GR,Import,31,2016-04-01,31
2016,5,AL,GR,Import,445,2016-05-01,445
2016,6,AL,GR,Import,150,2016-06-01,150
2016,7,AL,GR,Import,5,2016-07-01,5
2016,8,AL,GR,Import,4,2016-08-01,4
2016,9,AL,GR,Import,61,2016-09-01,61
2016,10,AL,GR,Import,24,2016-10-01,24
2016,11,AL,GR,Import,211,2016-11-01,211
2016,12,AL,GR,Import,0,2016-12-01,0
2016,1,AL,GR,Import,0,2016-01-01,0
2016,2,AL,GR,Import,186,2016-02-01,186
2016,3,AL,GR,Import,296,2016-03-01,296
2016,4,AL,GR,Import,26,2016-04-01,26
2016,5,AL,GR,Import,404,2016-05-01,404
2016,6,AL,GR,Import,210,2016-06-01,210
2016,7,AL,GR,Import,1,2016-07-01,1
2016,8,AL,GR,Import,40,2016-08-01,40
2016,9,AL,GR,Import,0,2016-09-01,0
2016,10,AL,GR,Import,0,2016-10-01,0
2016,11,AL,GR,Import,90,2016-11-01,90
2016,12,AL,GR,Import,0,2016-12-01,0
2016,1,AL,ME,Import,8,2016-01-01,8
2016,2,AL,ME,Import,43,2016-02-01,43
2016,3,AL,ME,Import,42,2016-03-01,42
2016,4,AL,ME,Import,1,2016-04-01,1
2016,5,AL,ME,Import,64,2016-05-01,64
2016,6,AL,ME,Import,20,2016-06-01,20
2016,7,AL,ME,Import,2,2016-07-01,2
2016,8,AL,ME,Import,1,2016-08-01,1
2016,9,AL,ME,Import,3,2016-09-01,3
2016,10,AL,ME,Import,28,2016-10-01,28
