country,year,TOTAL,RA000,RA100,RA110,RA120,RA130,RA200,RA300,RA310,RA320,RA400,RA410,RA420,RA500_5160,CF,CF_R,CF_NR_OTH,C0000,G3000,O4000XBIO,FE,N9000,X9900,share_ra000,share_ra100,share_ra110,share_ra120,share_ra130,share_ra200,share_ra300,share_ra310,share_ra320,share_ra400,share_ra410,share_ra420,share_ra500_5160,share_cf,share_cf_r,share_cf_nr_oth,share_c0000,share_g3000,share_o4000xbio,share_fe,share_n9000,share_x9900
AL,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2018,8596.537,8596.537,8596.537,8596.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019,5236.633,5236.633,5236.633,5236.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020,5344.07,5344.068,5311.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.265,0.0,32.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.9999996257534053,0.9939620925624103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006037533190994879,0.0,0.006037533190994879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021,9011.479,9011.48,8970.736,8970.736,0.0,0.0,0.0,0.0,0.0,0.0,40.744,0.0,40.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0000001109695755,0.9954787665820451,0.9954787665820451,0.0,0.0,0.0,0.0,0.0,0.0,0.004521344387530615,0.0,0.004521344387530615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2022,7031.2029999999995,7030.421,6987.107,6987.107,0.0,0.0,0.0,0.0,0.0,0.0,43.314,0.0,43.314,0.0,0.784,0.0,0.784,0.0,0.0,0.0,,0.0,0.0,0.9998887814787883,0.9937285269675759,0.9937285269675759,0.0,0.0,0.0,0.0,0.0,0.0,0.0061602545112123775,0.0,0.0061602545112123775,0.0,0.00011150296755761426,0.0,0.00011150296755761426,0.0,0.0,0.0,,0.0,0.0
AL,2023,9290.137999999999,9290.14,9018.808,9018.808,0.0,0.0,0.0,0.0,0.0,0.0,271.332,0.0,271.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.000000215282055,0.9707937600065792,0.9707937600065792,0.0,0.0,0.0,0.0,0.0,0.0,0.029206455275475995,0.0,0.029206455275475995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2024,8296.744999999999,8274.83,7555.184,7555.184,0.0,0.0,0.0,0.0,0.0,0.0,719.645,0.0,719.645,0.0,21.914,0.0,0.0,0.0,0.0,21.914,21.914,0.0,0.0,0.997358602680931,0.9106202492664294,0.9106202492664294,0.0,0.0,0.0,0.0,0.0,0.0,0.08673823288530623,0.0,0.08673823288530623,0.0,0.0026412767898736198,0.0,0.0,0.0,0.0,0.0026412767898736198,0.0026412767898736198,0.0,0.0
AT,2015,63106.0,,35824.0,,,,0.0,3968.0,,,,,,,15008.0,,,,,,,0.0,,,0.5676797768833391,,,,0.0,0.06287833169587678,,,,,,,0.23782207714005008,,,,,,,0.0,
AT,2016,65863.0,,38157.0,,,,0.0,5145.0,,,,,,,15232.0,,,,,,,0.0,,,0.5793389308109257,,,,0.0,0.07811669677967903,,,,,,,0.2312679349558933,,,,,,,0.0,
AT,2017,68175.5,46972.988,38058.926,25188.012,12870.911,0.0,0.0,6480.142,6480.142,0.0,0.0,0.0,0.0,0.0,17609.684,2433.92,744.418,3630.615,10075.768,724.962,,0.0,6026.748,0.6890010047597743,0.5582493124362857,0.3694584124795564,0.1887908559526516,0.0,0.0,0.095050890715873,0.095050890715873,0.0,0.0,0.0,0.0,0.0,0.2582993010685657,0.03570080160761564,0.010919142507205668,0.05325395486648429,0.14779162602401155,0.010633761395222624,,0.0,0.08840049577927554
AT,2018,65587.792,45592.899,37217.295,23819.712,13397.582,0.0,0.0,5857.059,5857.059,0.0,0.0,0.0,0.0,0.0,16350.754,2518.545,704.711,3352.631,9184.716,590.151,,0.0,6162.686,0.6951430686979064,0.567442413673569,0.3631729514541365,0.20426944697269273,0.0,0.0,0.08930105468407902,0.08930105468407902,0.0,0.0,0.0,0.0,0.0,0.24929569210074948,0.038399600340258445,0.010744545265374996,0.05111669256986117,0.14003697517367256,0.008997878751582306,,0.0,0.09396087003508213
AT,2019,71012.434,49951.828,40277.116,26099.503,14177.611,0.0,0.0,7228.27,7228.27,0.0,0.0,0.0,0.0,0.0,17454.595999999998,2446.442,758.991,3174.714,10504.401,570.049,,0.0,6052.452,0.7034236849281916,0.567183994848001,0.3675342687169405,0.1996496979669786,0.0,0.0,0.10178879377659412,0.10178879377659412,0.0,0.0,0.0,0.0,0.0,0.24579633476582424,0.034450896303596636,0.010688142304768769,0.04470645239395681,0.14792340451251115,0.00802745333303179,,0.0,0.0852308766095808
AT,2020,69403.179,50167.427,40735.091,26460.343,14274.749,0.0,0.0,6723.642,6723.642,0.0,0.0,0.0,0.0,0.0,15143.915,2708.694,564.164,2163.471,9144.822,562.7620000000001,,0.0,6800.532999999999,0.7228404768029429,0.5869340797775272,0.3812554897521337,0.2056786044339554,0.0,0.0,0.09687801188472936,0.09687801188472936,0.0,0.0,0.0,0.0,0.0,0.2182020365378364,0.03902838514068642,0.008128791910238001,0.031172505801211208,0.13176373376210906,0.008108591106467904,,0.0,0.0979859006170308
AT,2021,67174.716,47757.757,38487.482,24852.742,13634.739,0.0,0.0,6684.397,6684.397,0.0,0.0,0.0,0.0,0.0,15567.316,2585.878,569.334,1964.295,9873.206,574.607,,0.0,6435.5199999999995,0.7109484020743757,0.5729459578213922,0.3699716720797152,0.2029742708551235,0.0,0.0,0.09950763319937221,0.09950763319937221,0.0,0.0,0.0,0.0,0.0,0.23174368165546097,0.03849481105361131,0.008475421020015923,0.029241582502559448,0.14697800880914777,0.008553917816340302,,0.0,0.09580271243722116
AT,2022,65065.369,45182.928,35293.93,22309.62,12984.31,0.0,0.0,7185.461,7185.461,0.0,0.0,0.0,0.0,0.0,15821.897,2703.537,603.655,1802.215,10131.135,581.356,,0.0,6764.081,0.6944236034379517,0.5424380210615574,0.34288009647651424,0.19955792458504307,0.0,0.0,0.11043449242560971,0.11043449242560971,0.0,0.0,0.0,0.0,0.0,0.24316925029657482,0.04155108995078472,0.009277669661721276,0.0276985288441229,0.15570702442339182,0.008934952785713088,,0.0,0.10395823621625815
AT,2023,69287.483,50953.507,40360.418,25769.372,14591.044,0.0,0.0,7971.36,7971.36,0.0,0.0,0.0,0.0,0.0,12530.353,2621.729,604.24,1779.045,6860.808,664.533,,0.0,8425.354,0.7353926682543801,0.5825066267741318,0.3719195861105245,0.2105870117983648,0.0,0.0,0.11504761978437,0.11504761978437,0.0,0.0,0.0,0.0,0.0,0.18084583906735363,0.03783842169587832,0.008720767068418405,0.025676282684420796,0.09901944338200308,0.00959095310187556,,0.0,0.12159994323938712
AT,2024,76552.501,56257.229,44450.305,28776.328999999998,15673.978000000001,0.0,0.0,9134.588,9134.588,0.0,0.0,0.0,0.0,0.0,12538.167,2672.337,581.088,1798.217,6892.224,594.298,9865.829,0.0,10429.445,0.7348842724289308,0.5806512448234709,0.3759031857104185,0.20474808523891336,0.0,0.0,0.11932448817054324,0.11932448817054324,0.0,0.0,0.0,0.0,0.0,0.16378520409150316,0.034908552497847196,0.007590712157137752,0.0234899836910619,0.0900326430876504,0.007763273469014421,0.12887663853072545,0.0,0.13623911516620468
BA,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,2017,9541.561,2355.673,2355.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7185.888,0.0,0.0,7185.888,0.0,0.0,,0.0,0.0,0.24688549389350442,0.24688549389350442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7531145061064956,0.0,0.0,0.7531145061064956,0.0,0.0,,0.0,0.0
BA,2018,7502.427,3498.922,3476.554,0.0,0.0,0.0,0.0,22.368,0.0,0.0,0.0,0.0,0.0,0.0,4003.505,0.0,0.0,4003.505,0.0,0.0,,0.0,0.0,0.4663720153491664,0.46339058014159956,0.0,0.0,0.0,0.0,0.0029814352075668315,0.0,0.0,0.0,0.0,0.0,0.0,0.5336279846508337,0.0,0.0,0.5336279846508337,0.0,0.0,,0.0,0.0
BA,2019,15843.396,6220.505,5944.535,0.0,0.0,0.0,0.0,253.67000000000002,188.674,0.0,22.3,0.0,22.3,0.0,9622.891,0.0,0.0,9622.891,0.0,0.0,,0.0,0.0,0.3926244726824981,0.3752058586429323,0.0,0.0,0.0,0.0,0.0160110875218924,0.011908684224013588,0.0,0.0014075265176733574,0.0,0.0014075265176733574,0.0,0.6073755273175019,0.0,0.0,0.6073755273175019,0.0,0.0,,0.0,0.0
