country,time_period,C0000,CF,CF_NR_OTH,CF_R,FE,G3000,N9000,O4000XBIO,RA000,RA100,RA110,RA120,RA130,RA200,RA300,RA310,RA320,RA400,RA410,RA420,RA500_5160,TOTAL,X9900,year,month,share_ra000,share_ra100,share_ra110,share_ra120,share_ra130,share_ra200,share_ra300,share_ra310,share_ra320,share_ra400,share_ra410,share_ra420,share_ra500_5160,share_cf,share_cf_r,share_cf_nr_oth,share_c0000,share_g3000,share_o4000xbio,share_fe,share_n9000,share_x9900
AL,2015-01,,,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,
AL,2015-02,,,,,,,,,,,,,,,,,,,,,,,,2015,2,,,,,,,,,,,,,,,,,,,,,,
AL,2015-03,,,,,,,,,,,,,,,,,,,,,,,,2015,3,,,,,,,,,,,,,,,,,,,,,,
AL,2015-04,,,,,,,,,,,,,,,,,,,,,,,,2015,4,,,,,,,,,,,,,,,,,,,,,,
AL,2015-05,,,,,,,,,,,,,,,,,,,,,,,,2015,5,,,,,,,,,,,,,,,,,,,,,,
AL,2015-06,,,,,,,,,,,,,,,,,,,,,,,,2015,6,,,,,,,,,,,,,,,,,,,,,,
AL,2015-07,,,,,,,,,,,,,,,,,,,,,,,,2015,7,,,,,,,,,,,,,,,,,,,,,,
AL,2015-08,,,,,,,,,,,,,,,,,,,,,,,,2015,8,,,,,,,,,,,,,,,,,,,,,,
AL,2015-09,,,,,,,,,,,,,,,,,,,,,,,,2015,9,,,,,,,,,,,,,,,,,,,,,,
AL,2015-10,,,,,,,,,,,,,,,,,,,,,,,,2015,10,,,,,,,,,,,,,,,,,,,,,,
AL,2015-11,,,,,,,,,,,,,,,,,,,,,,,,2015,11,,,,,,,,,,,,,,,,,,,,,,
AL,2015-12,,,,,,,,,,,,,,,,,,,,,,,,2015,12,,,,,,,,,,,,,,,,,,,,,,
AL,2016-01,,,,,,,,,,,,,,,,,,,,,,,,2016,1,,,,,,,,,,,,,,,,,,,,,,
AL,2016-02,,,,,,,,,,,,,,,,,,,,,,,,2016,2,,,,,,,,,,,,,,,,,,,,,,
AL,2016-03,,,,,,,,,,,,,,,,,,,,,,,,2016,3,,,,,,,,,,,,,,,,,,,,,,
AL,2016-04,,,,,,,,,,,,,,,,,,,,,,,,2016,4,,,,,,,,,,,,,,,,,,,,,,
AL,2016-05,,,,,,,,,,,,,,,,,,,,,,,,2016,5,,,,,,,,,,,,,,,,,,,,,,
AL,2016-06,,,,,,,,,,,,,,,,,,,,,,,,2016,6,,,,,,,,,,,,,,,,,,,,,,
AL,2016-07,,,,,,,,,,,,,,,,,,,,,,,,2016,7,,,,,,,,,,,,,,,,,,,,,,
AL,2016-08,,,,,,,,,,,,,,,,,,,,,,,,2016,8,,,,,,,,,,,,,,,,,,,,,,
AL,2016-09,,,,,,,,,,,,,,,,,,,,,,,,2016,9,,,,,,,,,,,,,,,,,,,,,,
AL,2016-10,,,,,,,,,,,,,,,,,,,,,,,,2016,10,,,,,,,,,,,,,,,,,,,,,,
AL,2016-11,,,,,,,,,,,,,,,,,,,,,,,,2016,11,,,,,,,,,,,,,,,,,,,,,,
AL,2016-12,,,,,,,,,,,,,,,,,,,,,,,,2016,12,,,,,,,,,,,,,,,,,,,,,,
AL,2017-01,,,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,
AL,2017-02,,,,,,,,,,,,,,,,,,,,,,,,2017,2,,,,,,,,,,,,,,,,,,,,,,
AL,2017-03,,,,,,,,,,,,,,,,,,,,,,,,2017,3,,,,,,,,,,,,,,,,,,,,,,
AL,2017-04,,,,,,,,,,,,,,,,,,,,,,,,2017,4,,,,,,,,,,,,,,,,,,,,,,
AL,2017-05,,,,,,,,,,,,,,,,,,,,,,,,2017,5,,,,,,,,,,,,,,,,,,,,,,
AL,2017-06,,,,,,,,,,,,,,,,,,,,,,,,2017,6,,,,,,,,,,,,,,,,,,,,,,
AL,2017-07,,,,,,,,,,,,,,,,,,,,,,,,2017,7,,,,,,,,,,,,,,,,,,,,,,
AL,2017-08,,,,,,,,,,,,,,,,,,,,,,,,2017,8,,,,,,,,,,,,,,,,,,,,,,
AL,2017-09,,,,,,,,,,,,,,,,,,,,,,,,2017,9,,,,,,,,,,,,,,,,,,,,,,
AL,2017-10,,,,,,,,,,,,,,,,,,,,,,,,2017,10,,,,,,,,,,,,,,,,,,,,,,
AL,2017-11,,,,,,,,,,,,,,,,,,,,,,,,2017,11,,,,,,,,,,,,,,,,,,,,,,
AL,2017-12,,,,,,,,,,,,,,,,,,,,,,,,2017,12,,,,,,,,,,,,,,,,,,,,,,
AL,2018-01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,884.286,884.286,884.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.286,0.0,2018,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1054.965,1054.965,1054.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.965,0.0,2018,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1291.465,1291.465,1291.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.465,0.0,2018,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
