country,partner,flow
AL,GR,42039
AL,ME,47479
AL,RS,10481
AL,XK,17965
AT,CH,189728
AT,CZ,208652
AT,DE,318124
AT,HU,141947
AT,IT,45374
AT,SI,164002
BA,HR,131353
BA,ME,85276
BA,RS,32308
BE,DE,71952
BE,FR,293720
BE,GB,136211
BE,LU,22373
BE,NL,206452
BG,GR,69576
BG,MK,65325
BG,RO,84031
BG,RS,66305
BG,TR,70453
CH,AT,115330
CH,DE,362600
CH,FR,339679
CH,IT,717266
CZ,AT,321877
CZ,DE,235506
CZ,PL,147114
CZ,SK,306404
DE,AT,473926
DE,BE,71952
DE,CH,547568
DE,CZ,252671
DE,DK,275882
DE,FR,374337
DE,LU,143856
DE,NL,447425
DE,NO,96513
DE,PL,293304
DE,SE,68712
DK,DE,273942
DK,GB,24431
DK,NL,81465
DK,NO,198421
DK,SE,229567
EE,FI,140831
EE,LV,95065
ES,FR,417735
ES,PT,341298
FI,EE,154279
FI,NO,7852
FI,SE,312496
FR,BE,302385
FR,CH,380684
FR,DE,435483
FR,ES,523004
FR,GB,464962
FR,IT,533246
FR,LU,10087
GB,BE,136211
GB,DK,24431
GB,FR,355554
GB,IE,55809
GB,NL,126506
GB,NO,99847
GR,AL,46221
GR,BG,45832
GR,IT,69411
GR,MK,65225
GR,TR,44329
HR,BA,83955
HR,HU,107947
HR,RS,30963
HR,SI,154232
HU,AT,111604
HU,HR,143873
HU,RO,55685
HU,RS,37983
HU,SI,19800
HU,SK,231538
HU,UA,8343
IE,GB,57924
IT,AT,28474
IT,CH,470042
IT,FR,377423
IT,GR,82616
IT,ME,62322
IT,SI,125313
LT,LV,61203
LT,PL,67654
LT,SE,107969
LU,BE,18923
LU,DE,82497
LU,FR,0
LV,EE,64139
LV,LT,98469
MD,RO,10164
MD,UA,9944
ME,AL,51161
ME,BA,79989
ME,IT,62322
ME,RS,38862
ME,XK,19141
MK,BG,40595
MK,GR,85480
MK,RS,35947
MK,XK,20839
NL,BE,325236
NL,DE,270432
NL,DK,81465
NL,GB,193330
NL,NO,80385
NO,DE,96513
NO,DK,248163
NO,FI,9836
NO,GB,99847
NO,NL,127639
NO,SE,333440
PL,CZ,208554
PL,DE,208113
PL,LT,61687
PL,SE,85310
PL,SK,144322
PL,UA,3324
PT,ES,371443
RO,BG,115055
RO,HU,60341
RO,MD,10164
RO,RS,66070
RO,UA,9147
RS,AL,5841
RS,BA,41470
RS,BG,45770
RS,HR,48502
RS,HU,44704
RS,ME,41066
RS,MK,52868
RS,RO,44349
RS,XK,23862
SE,DE,83736
SE,DK,247786
SE,FI,462659
SE,LT,137022
SE,NO,267534
SE,PL,110097
SI,AT,119980
SI,HR,121976
SI,HU,19800
SI,IT,201144
SK,CZ,207637
SK,HU,312106
SK,PL,99876
SK,UA,13007
TR,BG,39036
TR,GR,72965
UA,HU,8343
UA,MD,9944
UA,PL,3324
UA,RO,9147
UA,SK,13007
XK,AL,17965
XK,ME,19141
XK,MK,20839
XK,RS,23862
