date,country,partner,flow
2016-01-01,AL,GR,7
2016-01-01,AL,ME,65
2016-01-01,AL,RS,194
2016-01-01,AT,CH,2394
2016-01-01,AT,CZ,0
2016-01-01,AT,DE,466
2016-01-01,AT,HU,465
2016-01-01,AT,IT,340
2016-01-01,AT,SI,1323
2016-01-01,BA,HR,1595
2016-01-01,BA,ME,577
2016-01-01,BA,RS,98
2016-01-01,BE,FR,3915
2016-01-01,BE,LU,115
2016-01-01,BE,NL,401
2016-01-01,BG,GR,605
2016-01-01,BG,MK,684
2016-01-01,BG,RO,3
2016-01-01,BG,RS,604
2016-01-01,BG,TR,1769
2016-01-01,CH,AT,74
2016-01-01,CH,DE,101
2016-01-01,CH,FR,956
2016-01-01,CH,IT,9548
2016-01-01,CZ,AT,4580
2016-01-01,CZ,DE,829
2016-01-01,CZ,PL,214
2016-01-01,CZ,SK,3667
2016-01-01,DE,AT,7747
2016-01-01,DE,CH,8273
2016-01-01,DE,CZ,3566
2016-01-01,DE,DK,2233
2016-01-01,DE,FR,258
2016-01-01,DE,LU,1995
2016-01-01,DE,NL,6350
2016-01-01,DE,PL,4541
2016-01-01,DE,SE,137
2016-01-01,DK,DE,389
2016-01-01,DK,NO,217
2016-01-01,DK,SE,2553
2016-01-01,EE,FI,639
2016-01-01,EE,LV,574
2016-01-01,ES,FR,2033
2016-01-01,ES,PT,1334
2016-01-01,FI,EE,440
2016-01-01,FI,NO,115
2016-01-01,FI,SE,56
2016-01-01,FR,BE,285
2016-01-01,FR,CH,4147
2016-01-01,FR,DE,4574
2016-01-01,FR,ES,2182
2016-01-01,FR,GB,3005
2016-01-01,FR,IT,6083
2016-01-01,FR,LU,325
2016-01-01,GB,FR,964
2016-01-01,GB,IE,565
2016-01-01,GB,NL,0
2016-01-01,GR,AL,456
2016-01-01,GR,BG,0
2016-01-01,GR,IT,17
2016-01-01,GR,MK,187
2016-01-01,GR,TR,4
2016-01-01,HR,BA,458
2016-01-01,HR,HU,12
2016-01-01,HR,RS,3
2016-01-01,HR,SI,1464
2016-01-01,HU,AT,284
2016-01-01,HU,HR,1687
2016-01-01,HU,RO,146
2016-01-01,HU,RS,228
2016-01-01,HU,SK,0
2016-01-01,IE,GB,349
2016-01-01,IT,AT,13
2016-01-01,IT,CH,6
2016-01-01,IT,FR,341
2016-01-01,IT,GR,1267
2016-01-01,IT,SI,156
2016-01-01,LT,LV,15
2016-01-01,LT,PL,7
2016-01-01,LT,SE,0
2016-01-01,LU,BE,0
2016-01-01,LU,DE,391
2016-01-01,LU,FR,0
2016-01-01,LV,EE,2
2016-01-01,LV,LT,1018
2016-01-01,ME,AL,302
2016-01-01,ME,BA,154
2016-01-01,ME,RS,238
2016-01-01,MK,BG,0
2016-01-01,MK,GR,416
2016-01-01,MK,RS,149
2016-01-01,NL,BE,5427
2016-01-01,NL,DE,49
2016-01-01,NL,GB,2423
2016-01-01,NL,NO,14
2016-01-01,NO,DK,1337
2016-01-01,NO,FI,0
2016-01-01,NO,NL,1115
2016-01-01,NO,SE,5335
2016-01-01,PL,CZ,4295
2016-01-01,PL,DE,0
2016-01-01,PL,LT,173
2016-01-01,PL,SE,1
2016-01-01,PL,SK,2431
2016-01-01,PT,ES,5406
2016-01-01,RO,BG,1990
2016-01-01,RO,HU,184
2016-01-01,RO,RS,747
2016-01-01,RS,AL,5
2016-01-01,RS,BA,655
2016-01-01,RS,BG,1
2016-01-01,RS,HR,508
2016-01-01,RS,HU,203
2016-01-01,RS,ME,215
2016-01-01,RS,MK,402
2016-01-01,RS,RO,0
2016-01-01,SE,DE,632
2016-01-01,SE,DK,182
2016-01-01,SE,FI,5281
2016-01-01,SE,LT,0
2016-01-01,SE,NO,368
2016-01-01,SE,PL,867
2016-01-01,SI,AT,1
2016-01-01,SI,HR,439
2016-01-01,SI,IT,1895
2016-01-01,SK,CZ,0
2016-01-01,SK,HU,3177
2016-01-01,SK,PL,0
2016-01-01,TR,BG,0
2016-01-01,TR,GR,630
2016-02-01,AL,GR,615
2016-02-01,AL,ME,424
2016-02-01,AL,RS,436
2016-02-01,AT,CH,2671
2016-02-01,AT,CZ,2
2016-02-01,AT,DE,1901
2016-02-01,AT,HU,201
2016-02-01,AT,IT,658
2016-02-01,AT,SI,177
2016-02-01,BA,HR,2728
2016-02-01,BA,ME,284
2016-02-01,BA,RS,83
2016-02-01,BE,FR,3426
2016-02-01,BE,LU,128
2016-02-01,BE,NL,610
2016-02-01,BG,GR,691
2016-02-01,BG,MK,548
2016-02-01,BG,RO,281
2016-02-01,BG,RS,293
2016-02-01,BG,TR,1283
2016-02-01,CH,AT,204
2016-02-01,CH,DE,7
2016-02-01,CH,FR,1585
2016-02-01,CH,IT,7835
2016-02-01,CZ,AT,3894
2016-02-01,CZ,DE,3115
2016-02-01,CZ,PL,249
2016-02-01,CZ,SK,1468
2016-02-01,DE,AT,5823
2016-02-01,DE,CH,7026
2016-02-01,DE,CZ,1457
2016-02-01,DE,DK,707
2016-02-01,DE,FR,1491
2016-02-01,DE,LU,2406
2016-02-01,DE,NL,6926
2016-02-01,DE,PL,3073
2016-02-01,DE,SE,24
2016-02-01,DK,DE,1554
2016-02-01,DK,NO,237
2016-02-01,DK,SE,1709
2016-02-01,EE,FI,6
2016-02-01,EE,LV,1214
2016-02-01,ES,FR,1835
2016-02-01,ES,PT,995
2016-02-01,FI,EE,2233
2016-02-01,FI,NO,10
2016-02-01,FI,SE,0
2016-02-01,FR,BE,683
2016-02-01,FR,CH,2835
2016-02-01,FR,DE,1204
2016-02-01,FR,ES,2699
2016-02-01,FR,GB,5595
2016-02-01,FR,IT,5446
2016-02-01,FR,LU,376
2016-02-01,GB,FR,0
2016-02-01,GB,IE,220
2016-02-01,GB,NL,0
2016-02-01,GR,AL,2
2016-02-01,GR,BG,0
2016-02-01,GR,IT,7
2016-02-01,GR,MK,0
2016-02-01,GR,TR,1
2016-02-01,HR,BA,481
2016-02-01,HR,HU,412
2016-02-01,HR,RS,1
2016-02-01,HR,SI,3820
2016-02-01,HU,AT,1386
2016-02-01,HU,HR,707
2016-02-01,HU,RO,55
2016-02-01,HU,RS,16
