country,year_month,load_sum,load_peak,days_used,load_mean
AL,2017-01-01,751665.1,1420.0,31,1010.3025873655914
AL,2017-02-01,580503.4,1292.12,28,863.8443080357143
AL,2017-03-01,573777.9,1112.52,31,771.2068212365591
AL,2017-04-01,534561.6,1082.25,30,742.4467013888889
AL,2017-05-01,521355.78,951.34,31,700.7470178091398
AL,2017-06-01,550498.56,1026.9,30,764.5813368055556
AL,2017-07-01,596780.3,1032.91,31,802.1240759408602
AL,2017-08-01,616436.1,1096.1,31,828.5431787634409
AL,2017-09-01,517903.56,954.82,30,719.3105034722222
AL,2017-10-01,555149.2,1103.36,31,746.1682627688172
AL,2017-11-01,602622.06,1239.6,30,836.9750868055555
AL,2017-12-01,692862.56,1418.87,31,931.2668850806451
AL,2018-01-01,676849.4,1299.06,31,909.7437836021505
AL,2018-02-01,625544.75,1354.21,28,930.8701636904761
AL,2018-03-01,645584.25,1340.77,31,867.7207661290323
AL,2018-04-01,530866.4,1060.32,30,737.3144097222222
AL,2018-05-01,532507.8,929.88,31,715.7363071236559
AL,2018-06-01,530320.75,939.07,30,736.5565972222222
AL,2018-07-01,578495.75,1013.92,31,777.5480510752689
AL,2018-08-01,621130.75,1090.99,31,834.8531586021505
AL,2018-09-01,539030.3,1021.14,30,748.6532118055555
AL,2018-10-01,554773.56,1022.32,31,745.6633904569892
AL,2018-11-01,591386.2,1208.23,30,821.3697048611111
AL,2018-12-01,715369.44,1351.44,30,993.5686631944444
AL,2021-08-01,27000.0,1000.0,2,562.5
AL,2021-09-01,31725.0,255.0,8,165.234375
AL,2021-10-01,47516.0,282.0,10,197.98333333333332
AL,2021-11-01,51575.0,307.0,10,214.89583333333334
AL,2021-12-01,56332.0,382.0,9,260.7962962962963
AL,2022-01-01,48636.0,402.0,8,253.3125
AL,2022-02-01,66254.0,364.0,11,250.96212121212122
AL,2022-03-01,42675.0,363.0,7,254.01785714285714
AL,2022-04-01,51338.0,312.0,10,213.90833333333333
AL,2022-05-01,72021.0,249.0,16,187.5546875
AL,2022-06-01,107626.0,288.0,22,203.83712121212122
AL,2022-07-01,61405.0,289.0,12,213.21180555555554
AL,2022-08-01,86072.0,280.0,17,210.9607843137255
AL,2022-09-01,59970.0,246.0,14,178.48214285714286
AL,2022-10-01,90225.0,228.0,23,163.45108695652175
AL,2022-11-01,95717.0,319.0,20,199.41041666666666
AL,2022-12-01,163927.0,343.0,31,220.33198924731184
AL,2023-01-01,160004.0,1046.0,26,256.4166666666667
AL,2023-02-01,153159.0,1542.0,23,277.4619565217391
AL,2023-03-01,149931.0,308.0,31,201.5201612903226
AL,2023-04-01,143523.0,300.0,30,199.3375
AL,2023-05-01,150244.0,931.0,31,201.94086021505376
AL,2023-06-01,136354.0,252.0,30,189.38055555555556
AL,2023-07-01,162321.0,315.0,31,218.1733870967742
AL,2023-08-01,160211.0,307.0,31,215.33736559139786
AL,2023-09-01,137063.0,255.0,30,190.36527777777778
AL,2023-10-01,123713.0,247.0,29,177.7485632183908
AL,2023-11-01,147030.0,330.0,30,204.20833333333334
AL,2023-12-01,646699.0,1506.0,30,898.1930555555556
AL,2024-01-01,299834.0,1523.0,13,961.0064102564103
AL,2024-02-01,635808.0,1494.0,29,913.5172413793103
AL,2024-03-01,618857.0,1240.0,31,831.7970430107526
AL,2024-04-01,534102.0,1166.0,30,741.8083333333333
AL,2024-05-01,523733.0,944.0,31,703.9422043010753
AL,2024-06-01,595928.0,1198.0,30,827.6777777777778
AL,2024-07-01,736245.0,1367.0,31,989.5766129032259
AL,2024-08-01,702602.0,1346.0,31,944.3575268817204
AL,2024-09-01,474248.0,1135.0,26,760.0128205128206
AL,2024-10-01,537807.0,1037.0,31,722.858870967742
AL,2024-11-01,659917.0,1475.0,30,916.5513888888889
AL,2024-12-01,790493.0,1659.0,31,1062.4905913978494
AT,2016-01-01,6536280.0,11728.0,31,8785.322580645161
AT,2016-02-01,6036009.0,11003.0,29,8672.426724137931
AT,2016-03-01,6221061.0,10891.0,31,8361.641129032258
AT,2016-04-01,5485494.0,10185.0,30,7618.741666666667
AT,2016-05-01,5452655.0,10114.0,31,7328.837365591397
AT,2016-06-01,5462967.0,9829.0,30,7587.454166666666
AT,2016-07-01,5486842.0,9968.0,31,7374.787634408603
AT,2016-08-01,5355275.0,9766.0,31,7197.950268817204
AT,2016-09-01,5464576.0,10019.0,30,7589.688888888889
AT,2016-10-01,5913615.0,10442.0,31,7948.407258064516
AT,2016-11-01,6247230.0,11614.0,30,8676.708333333334
AT,2016-12-01,6540207.0,11490.0,31,8790.600806451614
AT,2017-01-01,7014637.0,11919.0,31,9428.275537634408
AT,2017-02-01,6012790.0,11604.0,28,8947.604166666666
AT,2017-03-01,6145113.0,10601.0,31,8259.560483870968
AT,2017-04-01,5534917.0,10310.0,30,7687.384722222222
AT,2017-05-01,5500787.0,9797.0,31,7393.530913978495
AT,2017-06-01,5400506.0,9947.0,30,7500.702777777778
AT,2017-07-01,5536734.0,9845.0,31,7441.846774193548
AT,2017-08-01,5517427.0,9804.0,31,7415.896505376344
AT,2017-09-01,5639533.0,10415.0,30,7832.684722222222
AT,2017-10-01,5836780.0,10694.0,31,7845.134408602151
AT,2017-11-01,6313417.0,11578.0,30,8768.634722222223
AT,2017-12-01,6530336.0,11565.0,31,8777.333333333334
AT,2018-01-01,6607770.0,11392.0,31,8881.411290322581
AT,2018-02-01,6255746.0,12068.0,28,9309.145833333334
AT,2018-03-01,6613399.0,11977.0,31,8888.977150537634
AT,2018-04-01,5478308.0,10257.0,30,7608.761111111111
AT,2018-05-01,5552446.0,10175.0,31,7462.965053763441
AT,2018-06-01,5506986.0,10115.0,30,7648.591666666666
AT,2018-07-01,5538634.0,9919.0,31,7444.4005376344085
AT,2018-08-01,5539658.0,9747.0,31,7445.7768817204305
AT,2018-09-01,5454483.0,9783.0,30,7575.670833333334
AT,2018-10-01,5919559.0,10466.0,31,7956.396505376344
AT,2018-11-01,6201926.0,11894.0,30,8613.78611111111
AT,2018-12-01,6563722.0,12073.0,31,8822.206989247312
AT,2019-01-01,6216600.5,10705.2,31,8355.645833333334
AT,2019-02-01,5414046.5,10254.5,28,8056.616815476191
AT,2019-03-01,5587706.0,9619.3,31,7510.35752688172
AT,2019-04-01,4878256.5,8515.8,30,6775.35625
AT,2019-05-01,5109958.5,9265.3,31,6868.2237903225805
AT,2019-06-01,4742007.5,8958.8,30,6586.121527777777
AT,2019-07-01,4966293.0,8806.8,31,6675.125
AT,2019-08-01,4845929.5,8838.1,31,6513.346102150537
AT,2019-09-01,4844191.0,8850.8,30,6728.043055555556
AT,2019-10-01,5254283.5,9307.6,31,7062.209005376344
AT,2019-11-01,5460884.0,10034.9,30,7584.561111111111
AT,2019-12-01,5765072.5,10779.0,31,7748.753360215053
AT,2020-01-01,5981478.0,10247.5,31,8039.620967741936
AT,2020-02-01,5448907.5,9946.5,29,7828.890086206897
AT,2020-03-01,5317250.0,9638.0,31,7146.841397849463
AT,2020-04-01,4345476.5,8176.8,30,6035.384027777778
AT,2020-05-01,4535761.5,8630.3,31,6096.4536290322585
AT,2020-06-01,4507329.0,8921.9,30,6260.179166666667
AT,2020-07-01,4796806.5,8489.3,31,6447.320564516129
AT,2020-08-01,4747478.0,8645.4,31,6381.018817204301
AT,2020-09-01,4855064.5,9170.1,30,6743.145138888889
AT,2020-10-01,5333865.0,9575.9,31,7169.173387096775
AT,2020-11-01,5460953.0,10122.8,30,7584.656944444445
AT,2020-12-01,5727634.5,10551.5,31,7698.433467741936
AT,2021-01-01,5803580.0,10134.3,31,7800.510752688172
AT,2021-02-01,5206238.0,10053.6,28,7747.377976190476
AT,2021-03-01,5602613.0,9407.5,31,7530.393817204301
AT,2021-04-01,5042684.0,9464.1,30,7003.727777777778
AT,2021-05-01,4912325.5,8973.4,31,6602.5880376344085
AT,2021-06-01,4855781.0,8810.2,30,6744.140277777778
AT,2021-07-01,5012174.5,9069.2,31,6736.793682795699
AT,2021-08-01,5018636.0,8626.2,31,6745.478494623656
AT,2021-09-01,4878294.0,8913.8,30,6775.408333333334
AT,2021-10-01,5270196.5,9374.5,31,7083.597446236559
AT,2021-11-01,5383565.0,9586.1,30,7477.173611111111
AT,2021-12-01,5951084.5,10357.7,31,7998.769489247312
AT,2022-01-01,5742111.0,9764.2,31,7717.8911290322585
AT,2022-02-01,5377398.5,10127.7,28,8002.081101190476
AT,2022-03-01,5648891.5,9722.8,31,7592.596102150537
AT,2022-04-01,5176249.5,9538.4,30,7189.235416666666
AT,2022-05-01,4857547.0,8530.9,31,6528.961021505376
AT,2022-06-01,4690258.0,8834.5,30,6514.247222222222
AT,2022-07-01,4785235.5,8529.0,31,6431.768145161291
AT,2022-08-01,4709644.0,8541.5,31,6330.166666666667
AT,2022-09-01,4770317.0,8673.9,30,6625.440277777778
AT,2022-10-01,4865039.5,8508.7,31,6539.031586021505
AT,2022-11-01,5238576.5,9644.2,30,7275.800694444444
AT,2022-12-01,5643634.0,10254.9,31,7585.529569892473
AT,2023-01-01,5662081.0,10159.7,31,7610.323924731183
AT,2023-02-01,5121684.0,10012.5,28,7621.553571428572
AT,2023-03-01,5260896.0,9346.3,31,7071.096774193548
AT,2023-04-01,4698365.5,9326.9,30,6525.507638888889
AT,2023-05-01,4499450.5,8603.7,31,6047.648521505376
AT,2023-06-01,4201289.0,7444.9,30,5835.123611111111
AT,2023-07-01,4414706.0,8026.1,31,5933.7446236559135
AT,2023-08-01,4477497.0,8351.3,31,6018.1411290322585
AT,2023-09-01,4420247.0,8251.3,30,6139.231944444445
AT,2023-10-01,4750466.5,9095.4,31,6385.0356182795695
AT,2023-11-01,5202719.0,9989.0,30,7225.998611111111
AT,2023-12-01,5506441.5,10318.0,31,7401.131048387097
AT,2024-01-01,5800134.5,10267.6,31,7795.879704301075
AT,2024-02-01,5037800.5,9488.0,29,7238.219109195402
AT,2024-03-01,4899441.5,8458.4,31,6585.270833333333
AT,2024-04-01,4523753.5,8903.0,30,6282.990972222222
AT,2024-05-01,4370053.5,8170.2,31,5873.727822580645
AT,2024-06-01,4407263.5,8382.3,30,6121.199305555556
AT,2024-07-01,4577806.5,8084.2,31,6152.965725806452
AT,2024-08-01,4520203.5,8119.1,31,6075.542338709677
AT,2024-09-01,4607523.0,8917.6,30,6399.3375
AT,2024-10-01,4998680.5,8867.0,31,6718.656586021505
AT,2024-11-01,5379225.5,10153.6,30,7471.146527777778
AT,2024-12-01,5680119.0,10228.4,31,7634.568548387097
BA,2016-01-01,1147753.0,2021.0,31,1542.6787634408602
BA,2016-02-01,998678.0,1807.0,29,1434.882183908046
BA,2016-03-01,1076480.0,1814.0,31,1446.8817204301076
BA,2016-04-01,940032.3,1701.0,30,1305.6004340277777
BA,2016-05-01,950769.3,1679.46,31,1277.915742607527
BA,2016-06-01,917014.4,1612.64,30,1273.631076388889
BA,2016-07-01,972518.5,1667.67,31,1307.1485215053763
BA,2016-08-01,963265.3,1644.17,31,1294.711441532258
BA,2016-09-01,939115.94,1680.0,30,1304.3276909722222
BA,2016-10-01,1029247.0,1788.84,31,1383.396505376344
BA,2016-11-01,1054054.2,1952.5,30,1463.9642361111112
BA,2016-12-01,1232305.4,2142.21,31,1656.324428763441
BA,2017-01-01,1288898.9,2237.4,31,1732.3909610215053
BA,2017-02-01,1033599.94,1970.13,28,1538.0951450892858
BA,2017-03-01,1036453.5,1799.18,31,1393.0826612903227
BA,2017-04-01,980488.56,1828.45,30,1361.7896701388888
BA,2017-05-01,937437.8,1587.26,31,1259.997059811828
BA,2017-06-01,952154.3,1691.31,30,1322.436545138889
BA,2017-07-01,1001878.5,1711.33,31,1346.6108870967741
BA,2017-08-01,1013884.0,1753.0,31,1362.747311827957
BA,2017-09-01,951731.0,1700.0,30,1321.848611111111
BA,2017-10-01,1034683.0,1840.0,31,1390.7029569892472
BA,2017-11-01,1083329.0,1901.0,30,1504.6236111111111
BA,2017-12-01,1170229.0,2000.0,31,1572.888440860215
BA,2018-01-01,1130133.0,1911.0,31,1518.9959677419354
BA,2018-02-01,1078835.0,2080.0,28,1605.4092261904761
BA,2018-03-01,1160944.0,2020.0,31,1560.4086021505377
BA,2018-04-01,959292.0,1729.0,30,1332.35
BA,2018-05-01,933711.0,1540.0,31,1254.9879032258063
BA,2018-06-01,923217.0,1619.0,30,1282.2458333333334
BA,2018-07-01,1003916.0,1704.0,31,1349.3494623655913
BA,2018-08-01,1022384.0,1736.0,31,1374.1720430107528
BA,2018-09-01,959399.0,1731.0,30,1332.4986111111111
BA,2018-10-01,1036846.0,1772.0,31,1393.6102150537633
BA,2018-11-01,1056880.0,1938.0,30,1467.888888888889
BA,2018-12-01,1209451.0,2050.0,31,1625.606182795699
BA,2019-01-01,1202487.6,2359.41,31,1616.246807795699
BA,2019-02-01,968733.9,2037.8,28,1441.5682663690477
