category,country,year,capacity_mw,group,is_renewable
Fossil Oil,AL,2017,97.0,fossil,False
Hydro_Pure_storage,AL,2017,1534.0,other,False
Hydro_RunOfRiver_and_poundage,AL,2017,301.0,other,False
Fossil Oil,AL,2018,97.0,fossil,False
Hydro_Pure_storage,AL,2018,1534.0,other,False
Hydro_RunOfRiver_and_poundage,AL,2018,301.0,other,False
Biomass,AL,2019,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2019,0.0,renewable,True
Hydro Water Reservoir,AL,2019,1492.0,renewable,True
Biomass,AL,2020,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2020,0.0,renewable,True
Hydro Water Reservoir,AL,2020,1492.0,renewable,True
Fossil Brown coal/Lignite,AL,2021,0.0,fossil,False
Fossil Coal-derived gas,AL,2021,0.0,fossil,False
Fossil Gas,AL,2021,0.0,fossil,False
Fossil Hard coal,AL,2021,0.0,fossil,False
Fossil Oil,AL,2021,97.0,fossil,False
Fossil Oil shale,AL,2021,0.0,fossil,False
Fossil Peat,AL,2021,0.0,fossil,False
Nuclear,AL,2021,0.0,nuclear,False
Other,AL,2021,0.0,other,False
Waste,AL,2021,0.0,other,False
Biomass,AL,2021,0.0,renewable,True
Geothermal,AL,2021,0.0,renewable,True
Hydro Pumped Storage,AL,2021,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2021,527.0,renewable,True
Hydro Water Reservoir,AL,2021,1676.0,renewable,True
Marine,AL,2021,0.0,renewable,True
Other renewable,AL,2021,0.0,renewable,True
Solar,AL,2021,0.0,renewable,True
Wind Offshore,AL,2021,0.0,renewable,True
Wind Onshore,AL,2021,0.0,renewable,True
Fossil Brown coal/Lignite,AL,2022,0.0,fossil,False
Fossil Coal-derived gas,AL,2022,0.0,fossil,False
Fossil Gas,AL,2022,0.0,fossil,False
Fossil Hard coal,AL,2022,0.0,fossil,False
Fossil Oil,AL,2022,97.0,fossil,False
Fossil Oil shale,AL,2022,0.0,fossil,False
Fossil Peat,AL,2022,0.0,fossil,False
Nuclear,AL,2022,0.0,nuclear,False
Other,AL,2022,0.0,other,False
Waste,AL,2022,0.0,other,False
Biomass,AL,2022,0.0,renewable,True
Geothermal,AL,2022,0.0,renewable,True
Hydro Pumped Storage,AL,2022,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2022,527.0,renewable,True
Hydro Water Reservoir,AL,2022,1676.0,renewable,True
Marine,AL,2022,0.0,renewable,True
Other renewable,AL,2022,0.0,renewable,True
Solar,AL,2022,0.0,renewable,True
Wind Offshore,AL,2022,0.0,renewable,True
Wind Onshore,AL,2022,0.0,renewable,True
Fossil Hard coal,AL,2023,0.0,fossil,False
Fossil Oil,AL,2023,97.0,fossil,False
Fossil Peat,AL,2023,0.0,fossil,False
Nuclear,AL,2023,0.0,nuclear,False
Biomass,AL,2023,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2023,527.0,renewable,True
Hydro Water Reservoir,AL,2023,1676.0,renewable,True
Solar,AL,2023,5.0,renewable,True
Fossil Brown coal/Lignite,AL,2024,0.0,fossil,False
Fossil Coal-derived gas,AL,2024,0.0,fossil,False
Fossil Gas,AL,2024,0.0,fossil,False
Fossil Hard coal,AL,2024,0.0,fossil,False
Fossil Oil,AL,2024,97.0,fossil,False
Fossil Oil shale,AL,2024,0.0,fossil,False
Fossil Peat,AL,2024,0.0,fossil,False
Nuclear,AL,2024,0.0,nuclear,False
Other,AL,2024,0.0,other,False
Waste,AL,2024,0.0,other,False
Biomass,AL,2024,0.0,renewable,True
Geothermal,AL,2024,0.0,renewable,True
Hydro Pumped Storage,AL,2024,0.0,renewable,True
Hydro Run-of-river and poundage,AL,2024,527.0,renewable,True
Hydro Water Reservoir,AL,2024,1676.0,renewable,True
Marine,AL,2024,0.0,renewable,True
Other renewable,AL,2024,0.0,renewable,True
Solar,AL,2024,195.0,renewable,True
Wind Offshore,AL,2024,0.0,renewable,True
Wind Onshore,AL,2024,0.0,renewable,True
Fossil Gas,AT,2014,4888.0,fossil,False
Fossil Oil,AT,2014,334.0,fossil,False
Biogas,AT,2014,82.0,other,False
Fossil_Hard_coal,AT,2014,1171.0,other,False
Fossil_Mixed_fuels,AT,2014,436.0,other,False
Fossil_Other,AT,2014,414.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2014,7969.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2014,5599.0,other,False
Other_non_renewable,AT,2014,87.0,other,False
Solar_PV,AT,2014,586.12,other,False
Waste_renewable,AT,2014,21.96,other,False
Wind_onshore,AT,2014,2110.0,other,False
Biomass,AT,2014,523.37,renewable,True
Geothermal,AT,2014,1.0,renewable,True
Fossil Gas,AT,2015,4820.0,fossil,False
Fossil Oil,AT,2015,174.0,fossil,False
Biogas,AT,2015,82.0,other,False
Fossil_Hard_coal,AT,2015,1171.0,other,False
Fossil_Mixed_fuels,AT,2015,480.0,other,False
Fossil_Other,AT,2015,414.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,AT,2015,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2015,7994.0,other,False
Hydro_Pure_storage,AT,2015,0.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2015,5662.0,other,False
Non_identified_net_gen,AT,2015,0.0,other,False
Other_non_renewable,AT,2015,90.0,other,False
Other_renewable,AT,2015,0.0,other,False
Solar_PV,AT,2015,732.0,other,False
Waste_renewable,AT,2015,23.0,other,False
Wind_onshore,AT,2015,2489.0,other,False
Biomass,AT,2015,514.0,renewable,True
Geothermal,AT,2015,1.0,renewable,True
Fossil Gas,AT,2016,4841.0,fossil,False
Fossil Oil,AT,2016,166.0,fossil,False
Biogas,AT,2016,90.0,other,False
Fossil_Hard_coal,AT,2016,598.0,other,False
Fossil_Mixed_fuels,AT,2016,436.0,other,False
Fossil_Other,AT,2016,414.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,AT,2016,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2016,8424.0,other,False
Hydro_Pure_storage,AT,2016,0.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2016,5692.0,other,False
Non_identified_net_gen,AT,2016,0.0,other,False
Other_non_renewable,AT,2016,105.0,other,False
Other_renewable,AT,2016,0.0,other,False
Solar_PV,AT,2016,1031.0,other,False
Waste_renewable,AT,2016,22.0,other,False
Wind_onshore,AT,2016,2730.0,other,False
Biomass,AT,2016,482.0,renewable,True
Geothermal,AT,2016,1.0,renewable,True
Fossil Gas,AT,2017,4841.0,fossil,False
Fossil Oil,AT,2017,166.0,fossil,False
Biogas,AT,2017,90.0,other,False
Fossil_Hard_coal,AT,2017,598.0,other,False
Fossil_Mixed_fuels,AT,2017,436.0,other,False
Fossil_Other,AT,2017,414.0,other,False
Hydro_Mixed_pumped_storage_non_renewable,AT,2017,0.0,other,False
Hydro_Mixed_pumped_storage_renewable,AT,2017,8424.0,other,False
Hydro_Pure_storage,AT,2017,0.0,other,False
Hydro_RunOfRiver_and_poundage,AT,2017,5692.0,other,False
Non_identified_net_gen,AT,2017,0.0,other,False
Other_non_renewable,AT,2017,105.0,other,False
Other_renewable,AT,2017,0.0,other,False
