country,year,renewable_generation_gwh,total_generation_gwh,renewable_share
AL,2015,,,
AL,2016,,,
AL,2017,,,
AL,2018,8596.537,8596.537,1.0
AL,2019,5236.633,5236.633,1.0
AL,2020,5344.068,5344.07,0.9999996257534053
AL,2021,9011.48,9011.479,1.0000001109695755
AL,2022,7030.421,7031.2029999999995,0.9998887814787883
AL,2023,9290.14,9290.137999999999,1.000000215282055
AL,2024,8274.83,8296.744999999999,0.997358602680931
AT,2015,,63106.0,
AT,2016,,65863.0,
AT,2017,46972.988,68175.5,0.6890010047597743
AT,2018,45592.899,65587.792,0.6951430686979064
AT,2019,49951.828,71012.434,0.7034236849281916
AT,2020,50167.427,69403.179,0.7228404768029429
AT,2021,47757.757,67174.716,0.7109484020743757
AT,2022,45182.928,65065.369,0.6944236034379517
AT,2023,50953.507,69287.483,0.7353926682543801
AT,2024,56257.229,76552.501,0.7348842724289308
BA,2015,,,
BA,2016,,,
BA,2017,2355.673,9541.561,0.24688549389350442
BA,2018,3498.922,7502.427,0.4663720153491664
BA,2019,6220.505,15843.396,0.3926244726824981
BA,2020,4749.704,15171.587,0.3130657326751644
BA,2021,6777.253,16602.759,0.408200408136985
BA,2022,4998.629,14638.511,0.34147113733083917
BA,2023,6962.461,15378.182,0.45274929117108903
BA,2024,5524.92,14040.622,0.3934953878823887
BE,2015,,64538.0,
BE,2016,,79492.0,
BE,2017,14382.681,80291.215,0.17913144046954577
BE,2018,15723.195,69212.347,0.22717326722065936
BE,2019,17438.548,86843.276,0.20080481533193195
BE,2020,22000.19,84239.354,0.2611628526970897
BE,2021,21717.859,94701.808,0.2293288740590887
BE,2022,22462.771,89629.53,0.2506179715546874
BE,2023,24999.515,76781.1,0.32559464503634356
BE,2024,24545.979,70706.634,0.3471524185410947
BG,2015,,43934.0,
BG,2016,,40281.0,
BG,2017,5536.7119999999995,40724.624,0.1359548954951677
BG,2018,7226.045,41712.773,0.17323338824776766
BG,2019,6891.237,40308.969,0.1709603884931912
BG,2020,7178.874,37289.564,0.19251697338161422
BG,2021,9916.793,43565.601,0.22762897268420557
BG,2022,9145.323,45824.131,0.19957439018319845
BG,2023,9547.848,36736.515,0.25990075542005003
BG,2024,10806.136,35311.020000000004,0.30602729686086666
CH,2015,,,
CH,2016,,,
CH,2017,,,
CH,2018,,,
CH,2019,,,
CH,2020,,,
CH,2021,,,
CH,2022,,,
CH,2023,,,
CH,2024,,,
CY,2015,,4260.0,
CY,2016,,4589.0,
CY,2017,408.17,4740.848,0.0860964114436911
CY,2018,447.045,4791.085,0.09330767456640823
CY,2019,491.44,4882.917,0.1006447580411463
CY,2020,607.517,4701.571,0.1292157451200886
CY,2021,762.248,4879.134,0.15622608438300734
CY,2022,873.9839999999999,5016.275,0.1742296823838406
CY,2023,1082.607,5132.937,0.21091375171758392
CY,2024,1324.4650000000001,5514.901,0.24016115611141528
CZ,2015,,77596.0,
CZ,2016,,77373.0,
CZ,2017,9188.649,81066.374,0.1133472307519268
CZ,2018,9006.081,81967.62700000001,0.10987363340407548
CZ,2019,9597.522,81133.564,0.1182928682881477
CZ,2020,9854.266,76115.206,0.12946514261552414
CZ,2021,10097.256,79296.185,0.12733596200119843
CZ,2022,9996.612,78769.56,0.12690958283885298
CZ,2023,9954.822,70956.26699999999,0.140295176464117
CZ,2024,11877.009,68947.681,0.17226118163423076
DE,2015,,529449.0,
DE,2016,,524351.0,
DE,2017,176146.11800000002,575256.748,0.3062043489492452
DE,2018,189462.386,571799.713,0.3313439683380883
DE,2019,204299.486,540234.134,0.3781684146600037
DE,2020,215125.675,505933.75,0.425205226968946
DE,2021,200792.705,520708.9,0.38561412144098167
DE,2022,221058.09100000001,515294.265,0.42899388953998935
DE,2023,241149.265,455991.581,0.5288458713890158
DE,2024,248192.31100000002,441200.653,0.562538403586633
DK,2015,,26777.0,
DK,2016,,28923.0,
DK,2017,20197.102,29458.172,0.6856196643837914
DK,2018,19304.364,28939.089,0.667068821689584
DK,2019,21862.237,28451.004,0.7684170653520699
DK,2020,21865.096999999998,27678.146,0.7899769370390631
DK,2021,23709.295,31917.413,0.7428326036323808
DK,2022,28014.347999999998,33666.301999999996,0.8321183597770851
DK,2023,29023.982,32502.323,0.8929817724105443
DK,2024,30068.18,34022.545,0.8837722163347863
EE,2015,,9264.0,
EE,2016,,10414.0,
EE,2017,762.4,11230.4,0.06788716341359168
EE,2018,664.1,10834.143,0.06129695722125876
EE,2019,706.4,6437.7029999999995,0.10972857865608278
EE,2020,2134.9,5006.246,0.42644728205525656
EE,2021,2096.438,6449.582,0.32505021255641064
EE,2022,2577.045,7573.604,0.34026666828632707
EE,2023,2559.1,4888.9,0.5234510830657203
EE,2024,3284.876,5243.23,0.6264985514654136
ES,2015,,266572.0,
ES,2016,,262238.0,
ES,2017,83327.568,262569.319,0.31735454971416516
ES,2018,100138.0,261071.191,0.3835658757154864
ES,2019,98165.345,261019.822,0.3760838707490958
ES,2020,110211.07,250960.834,0.43915645418997934
ES,2021,121264.794,259475.772,0.46734534428902286
ES,2022,117030.919,276134.659,0.4238182900466689
ES,2023,135296.207,266375.838,0.5079147118440975
ES,2024,149832.761,266281.08,0.5626864702516603
FI,2015,,66087.0,
FI,2016,,66019.0,
FI,2017,30304.0,64910.0,0.46686180865814203
FI,2018,31451.674,67423.674,0.4664781987406975
FI,2019,30394.0,66052.0,0.46015260703688005
FI,2020,33375.391,65806.777,0.5071725515443494
FI,2021,35433.542,68364.737,0.5183014453781927
FI,2022,37345.0,69178.0,0.5398392552545607
FI,2023,40493.0,78039.0,0.5188815848486014
FI,2024,44322.0,79342.0,0.5586196465932293
FR,2015,,544176.0,
FR,2016,,530138.0,
FR,2017,82311.326,526642.912,0.15629437731804127
FR,2018,103636.763,551685.823,0.18785467865829136
FR,2019,107445.612,543007.9110000001,0.19787117245148197
FR,2020,120186.701,507605.911,0.2367716734488539
FR,2021,116506.853,529812.066,0.21990222661331388
FR,2022,109296.02,450928.624,0.24237986719601104
FR,2023,134134.331,499845.945,0.26835134373251746
FR,2024,147245.34100000001,541491.895,0.2719252907746662
GR,2015,,46891.0,
GR,2016,,48062.0,
GR,2017,14836.223,51479.613,0.2881960864779617
GR,2018,17110.428,50708.949,0.33742422861100907
GR,2019,16533.871,47793.127,0.34594662533799053
GR,2020,18307.232,45838.035,0.3993895462578184
GR,2021,22001.169,52790.399,0.41676459009146727
GR,2022,22900.756999999998,49416.246,0.463425671792228
GR,2023,24568.113,46542.12,0.5278683695542876
GR,2024,26046.354,51784.001000000004,0.5029807179248278
HR,2015,,10767.0,
HR,2016,,12350.0,
HR,2017,7144.228,11544.791,0.6188269670711233
HR,2018,9704.46,13256.54,0.7320507462731601
HR,2019,8221.181,12269.844000000001,0.6700314201223748
HR,2020,8460.135,12901.164,0.6557652472288547
HR,2021,10345.333,14685.033,0.7044814267696914
HR,2022,8913.882,13789.462,0.6464271049878523
HR,2023,11910.36,16890.129,0.7051669054747894
HR,2024,10876.243,14760.028,0.7368714341192307
HU,2015,,27897.0,
HU,2016,,29492.0,
HU,2017,3073.3050000000003,30658.227,0.10024405520906347
HU,2018,3373.271,29749.879,0.11338772167779237
HU,2019,4156.172,31920.888,0.13020226755596523
HU,2020,5043.95,32658.283,0.15444627018511659
HU,2021,6505.399,33934.115,0.19170675292401174
HU,2022,7113.077,33506.136,0.21229177246818315
HU,2023,8601.297,33226.031,0.258872237854711
HU,2024,11225.887,35702.247,0.3144308256004167
IE,2015,,26815.0,
IE,2016,,28833.0,
IE,2017,8332.582,29234.135,0.2850291961776875
IE,2018,9445.428,29234.886,0.32308756052614673
IE,2019,10675.39,28846.755,0.37007247435630103
IE,2020,12253.525,30108.063,0.40698483326542795
IE,2021,10899.803,30102.047,0.36209507612555386
IE,2022,12438.443,32307.896,0.3849969988760642
IE,2023,13420.547999999999,30017.665,0.4470883394827678
IE,2024,13732.954000000002,29567.954,0.4644539828491346
IS,2015,,4586.0,
IS,2016,,,
IS,2017,19236.446,19238.533,0.9998915197951944
IS,2018,19824.777,19826.347999999998,0.9999207620082126
IS,2019,19486.171,19488.832,0.9998634602627803
IS,2020,19127.205,19130.271,0.9998397304460559
IS,2021,19611.733,19614.196,0.9998744276849278
IS,2022,20117.548,20120.491,0.9998537312036767
IS,2023,20234.021,20238.217,0.9997926694826921
IS,2024,16223.802,16226.365,0.9998420471867852
IT,2015,,270703.0,
IT,2016,,275649.0,
IT,2017,84168.0,285118.0,0.29520409093778716
IT,2018,93885.0,280234.0,0.33502358743050453
IT,2019,95654.0,283846.0,0.336992594575932
IT,2020,96249.0,273186.0,0.3523203970920911
IT,2021,95977.0,278109.0,0.3451056959681276
IT,2022,100684.477,276373.0,0.36430648797096676
IT,2023,113630.0,257023.0,0.4421005124055046
IT,2024,129547.781,263499.8,0.4916428058009912
LT,2015,,4503.0,
LT,2016,,3847.0,
LT,2017,2438.982,3893.037,0.626498540856406
LT,2018,2023.74,3183.0950000000003,0.635777443023221
LT,2019,2320.991,3679.308,0.6308226981812884
LT,2020,2400.971,5013.493,0.47890183550670157
LT,2021,2258.192,4346.981,0.51948513232517
LT,2022,2232.784,3819.779,0.5845322464990776
LT,2023,3150.011,4610.386,0.6832423575813391
LT,2024,4570.211,6286.303,0.7270109315443434
LU,2015,,2596.0,
LU,2016,,2011.0,
LU,2017,570.929,2183.584,0.26146417999032784
LU,2018,667.952,2164.862,0.30854253065553366
LU,2019,755.307,1832.402,0.4121950314396077
LU,2020,975.739,2193.998,0.4447310343947442
LU,2021,1061.477,2269.8559999999998,0.46764067852762475
LU,2022,1050.094,2268.292,0.4629448060478986
LU,2023,1104.981,2376.057,0.4650481869753125
LU,2024,1373.455,2723.735,0.5042542684952831
LV,2015,,5384.0,
LV,2016,,6228.0,
LV,2017,5267.0,7339.0,0.7176727074533316
