country,time_period,year,month,renewable_generation_gwh,total_generation_gwh,renewable_share
AL,2015-01,2015,1,,,
AL,2015-02,2015,2,,,
AL,2015-03,2015,3,,,
AL,2015-04,2015,4,,,
AL,2015-05,2015,5,,,
AL,2015-06,2015,6,,,
AL,2015-07,2015,7,,,
AL,2015-08,2015,8,,,
AL,2015-09,2015,9,,,
AL,2015-10,2015,10,,,
AL,2015-11,2015,11,,,
AL,2015-12,2015,12,,,
AL,2016-01,2016,1,,,
AL,2016-02,2016,2,,,
AL,2016-03,2016,3,,,
AL,2016-04,2016,4,,,
AL,2016-05,2016,5,,,
AL,2016-06,2016,6,,,
AL,2016-07,2016,7,,,
AL,2016-08,2016,8,,,
AL,2016-09,2016,9,,,
AL,2016-10,2016,10,,,
AL,2016-11,2016,11,,,
AL,2016-12,2016,12,,,
AL,2017-01,2017,1,,,
AL,2017-02,2017,2,,,
AL,2017-03,2017,3,,,
AL,2017-04,2017,4,,,
AL,2017-05,2017,5,,,
AL,2017-06,2017,6,,,
AL,2017-07,2017,7,,,
AL,2017-08,2017,8,,,
AL,2017-09,2017,9,,,
AL,2017-10,2017,10,,,
AL,2017-11,2017,11,,,
AL,2017-12,2017,12,,,
AL,2018-01,2018,1,884.286,884.286,1.0
AL,2018-02,2018,2,1054.965,1054.965,1.0
AL,2018-03,2018,3,1291.465,1291.465,1.0
AL,2018-04,2018,4,1174.183,1174.183,1.0
AL,2018-05,2018,5,1007.731,1007.731,1.0
AL,2018-06,2018,6,533.948,533.948,1.0
AL,2018-07,2018,7,569.644,569.644,1.0
AL,2018-08,2018,8,581.776,581.776,1.0
AL,2018-09,2018,9,489.469,489.469,1.0
AL,2018-10,2018,10,271.923,271.923,1.0
AL,2018-11,2018,11,263.479,263.479,1.0
AL,2018-12,2018,12,473.668,473.668,1.0
AL,2019-01,2019,1,419.847,419.847,1.0
AL,2019-02,2019,2,525.664,525.664,1.0
AL,2019-03,2019,3,342.72,342.72,1.0
AL,2019-04,2019,4,320.069,320.069,1.0
AL,2019-05,2019,5,520.692,520.692,1.0
AL,2019-06,2019,6,443.934,443.934,1.0
AL,2019-07,2019,7,457.805,457.805,1.0
AL,2019-08,2019,8,477.79,477.79,1.0
AL,2019-09,2019,9,258.513,258.513,1.0
AL,2019-10,2019,10,263.104,263.104,1.0
AL,2019-11,2019,11,433.041,433.041,1.0
AL,2019-12,2019,12,773.454,773.454,1.0
AL,2020-01,2020,1,537.469,537.469,1.0
AL,2020-02,2020,2,469.007,469.007,1.0
AL,2020-03,2020,3,547.065,547.065,1.0
AL,2020-04,2020,4,405.656,405.656,1.0
AL,2020-05,2020,5,371.832,371.832,1.0
AL,2020-06,2020,6,416.142,416.142,1.0
AL,2020-07,2020,7,490.564,490.565,0.9999979615341494
AL,2020-08,2020,8,461.13,461.13,1.0
AL,2020-09,2020,9,336.961,336.962,0.9999970323063135
AL,2020-10,2020,10,554.54,554.541,0.9999981967068259
AL,2020-11,2020,11,361.263,361.263,1.0
AL,2020-12,2020,12,392.439,392.438,1.0000025481732147
AL,2021-01,2021,1,1156.584,1156.584,1.0
AL,2021-02,2021,2,1187.193,1187.193,1.0
AL,2021-03,2021,3,1017.182,1017.182,1.0
AL,2021-04,2021,4,1003.523,1003.524,0.9999990035116251
AL,2021-05,2021,5,984.572,984.572,1.0
AL,2021-06,2021,6,685.176,685.176,1.0
AL,2021-07,2021,7,639.673,639.673,1.0
AL,2021-08,2021,8,453.248,453.248,1.0
AL,2021-09,2021,9,288.069,288.069,1.0
AL,2021-10,2021,10,313.048,313.047,1.0000031944085073
AL,2021-11,2021,11,344.823,344.822,1.0000029000469808
AL,2021-12,2021,12,938.389,938.389,1.0
AL,2022-01,2022,1,798.957,798.957,1.0
AL,2022-02,2022,2,575.537,575.537,1.0
AL,2022-03,2022,3,651.408,651.552,0.9997789892441432
AL,2022-04,2022,4,697.597,697.597,1.0
AL,2022-05,2022,5,573.015,573.015,1.0
AL,2022-06,2022,6,382.698,382.83,0.9996551994357809
AL,2022-07,2022,7,450.858,450.858,1.0
AL,2022-08,2022,8,514.055,514.207,0.9997043992010999
AL,2022-09,2022,9,408.139,408.139,1.0
AL,2022-10,2022,10,392.896,393.003,0.9997277374472969
AL,2022-11,2022,11,550.533,550.644,0.9997984178525509
AL,2022-12,2022,12,1034.728,1034.864,0.9998685817653334
AL,2023-01,2023,1,1164.524,1164.524,1.0
AL,2023-02,2023,2,936.733,936.733,1.0
AL,2023-03,2023,3,862.225,862.225,1.0
AL,2023-04,2023,4,771.551,771.55,1.000001296092282
AL,2023-05,2023,5,868.677,868.677,1.0
AL,2023-06,2023,6,759.421,759.421,1.0
AL,2023-07,2023,7,600.516,600.516,1.0
AL,2023-08,2023,8,563.483,563.483,1.0
AL,2023-09,2023,9,488.306,488.306,1.0
AL,2023-10,2023,10,404.39,404.389,1.0000024728664725
AL,2023-11,2023,11,808.767,808.766,1.000001236451582
AL,2023-12,2023,12,1061.547,1061.548,0.9999990579794791
AL,2024-01,2024,1,1049.85,1049.85,1.0
AL,2024-02,2024,2,790.996,790.996,1.0
AL,2024-03,2024,3,783.613,783.613,1.0
AL,2024-04,2024,4,665.817,665.817,1.0
AL,2024-05,2024,5,711.162,711.162,1.0
AL,2024-06,2024,6,510.722,510.722,1.0
AL,2024-07,2024,7,581.226,581.226,1.0
AL,2024-08,2024,8,563.12,570.756,0.9866212532150341
AL,2024-09,2024,9,488.394,490.249,0.9962162084981305
AL,2024-10,2024,10,530.222,532.954,0.994873854028678
AL,2024-11,2024,11,598.518,600.827,0.9961569636517666
AL,2024-12,2024,12,1001.19,1008.573,0.9926797564479716
AT,2015-01,2015,1,,5843.0,
AT,2015-02,2015,2,,4806.0,
AT,2015-03,2015,3,,5109.0,
AT,2015-04,2015,4,,5437.0,
AT,2015-05,2015,5,,6142.0,
AT,2015-06,2015,6,,5764.0,
AT,2015-07,2015,7,,5150.0,
AT,2015-08,2015,8,,4861.0,
AT,2015-09,2015,9,,4902.0,
AT,2015-10,2015,10,,5421.0,
